Model,TBS2104
-6.448e-01,-4.1
-6.440e-01,-2.7
-6.432e-01,-0.6
-6.424e-01,1.5
-6.416e-01,3.5
-6.408e-01,5.2
-6.400e-01,7
-6.392e-01,8.3
-6.384e-01,9.2
-6.376e-01,9.5
-6.368e-01,9.7
-6.360e-01,8.9
-6.352e-01,6.7
-6.344e-01,4.1
-6.336e-01,1.2
-6.328e-01,-1.5
-6.320e-01,-3.4
-6.312e-01,-4.3
-6.304e-01,-4.5
-6.296e-01,-4.6
-6.288e-01,-4.7
-6.280e-01,-4.1
-6.272e-01,-2.5
-6.264e-01,-0.2
-6.256e-01,2
-6.248e-01,3.9
-6.240e-01,5.6
-6.232e-01,7.3
-6.224e-01,8.4
-6.216e-01,9.3
-6.208e-01,9.7
-6.200e-01,9.7
-6.192e-01,8.6
-6.184e-01,6.4
-6.176e-01,3.7
-6.168e-01,0.8
-6.160e-01,-1.7
-6.152e-01,-3.7
-6.144e-01,-4.3
-6.136e-01,-4.5
-6.128e-01,-4.6
-6.120e-01,-4.6
-6.112e-01,-3.9
-6.104e-01,-2.1
-6.096e-01,0
-6.088e-01,2.2
-6.080e-01,4.2
-6.072e-01,6
-6.064e-01,7.5
-6.056e-01,8.6
-6.048e-01,9.4
-6.040e-01,9.6
-6.032e-01,9.8
-6.024e-01,8.2
-6.016e-01,6.1
-6.008e-01,3.3
-6.000e-01,0.4
-5.992e-01,-2.2
-5.984e-01,-3.8
-5.976e-01,-4.3
-5.968e-01,-4.5
-5.960e-01,-4.6
-5.952e-01,-4.5
-5.944e-01,-3.5
-5.936e-01,-1.7
-5.928e-01,0.4
-5.920e-01,2.6
-5.912e-01,4.5
-5.904e-01,6.2
-5.896e-01,7.7
-5.888e-01,8.8
-5.880e-01,9.4
-5.872e-01,9.7
-5.864e-01,9.6
-5.856e-01,7.9
-5.848e-01,5.5
-5.840e-01,2.6
-5.832e-01,-0.2
-5.824e-01,-2.6
-5.816e-01,-4
-5.808e-01,-4.4
-5.800e-01,-4.6
-5.792e-01,-4.6
-5.784e-01,-4.5
-5.776e-01,-3.4
-5.768e-01,-1.4
-5.760e-01,0.8
-5.752e-01,3
-5.744e-01,4.8
-5.736e-01,6.6
-5.728e-01,7.9
-5.720e-01,8.9
-5.712e-01,9.6
-5.704e-01,9.8
-5.696e-01,9.4
-5.688e-01,7.6
-5.680e-01,5.1
-5.672e-01,2.3
-5.664e-01,-0.5
-5.656e-01,-2.7
-5.648e-01,-3.9
-5.640e-01,-4.4
-5.632e-01,-4.5
-5.624e-01,-4.5
-5.616e-01,-4.4
-5.608e-01,-3.1
-5.600e-01,-1.1
-5.592e-01,1.1
-5.584e-01,3.2
-5.576e-01,5.1
-5.568e-01,6.8
-5.560e-01,8.1
-5.552e-01,9.1
-5.544e-01,9.6
-5.536e-01,9.7
-5.528e-01,9.2
-5.520e-01,7.3
-5.512e-01,4.7
-5.504e-01,1.8
-5.496e-01,-1
-5.488e-01,-3.1
-5.480e-01,-4.2
-5.472e-01,-4.4
-5.464e-01,-4.5
-5.456e-01,-4.5
-5.448e-01,-4.2
-5.440e-01,-2.7
-5.432e-01,-0.7
-5.424e-01,1.6
-5.416e-01,3.5
-5.408e-01,5.3
-5.400e-01,7
-5.392e-01,8.3
-5.384e-01,9.3
-5.376e-01,9.6
-5.368e-01,9.7
-5.360e-01,8.8
-5.352e-01,6.7
-5.344e-01,4.1
-5.336e-01,1.2
-5.328e-01,-1.4
-5.320e-01,-3.5
-5.312e-01,-4.3
-5.304e-01,-4.5
-5.296e-01,-4.6
-5.288e-01,-4.6
-5.280e-01,-4.1
-5.272e-01,-2.5
-5.264e-01,-0.3
-5.256e-01,1.9
-5.248e-01,3.9
-5.240e-01,5.6
-5.232e-01,7.2
-5.224e-01,8.4
-5.216e-01,9.3
-5.208e-01,9.6
-5.200e-01,9.8
-5.192e-01,8.6
-5.184e-01,6.5
-5.176e-01,3.7
-5.168e-01,0.9
-5.160e-01,-1.8
-5.152e-01,-3.6
-5.144e-01,-4.2
-5.136e-01,-4.5
-5.128e-01,-4.6
-5.120e-01,-4.6
-5.112e-01,-3.9
-5.104e-01,-2.2
-5.096e-01,0.1
-5.088e-01,2.1
-5.080e-01,4.2
-5.072e-01,6
-5.064e-01,7.5
-5.056e-01,8.7
-5.048e-01,9.4
-5.040e-01,9.8
-5.032e-01,9.7
-5.024e-01,8.3
-5.016e-01,6.1
-5.008e-01,3.2
-5.000e-01,0.3
-4.992e-01,-2.2
-4.984e-01,-3.8
-4.976e-01,-4.3
-4.968e-01,-4.5
-4.960e-01,-4.6
-4.952e-01,-4.5
-4.944e-01,-3.4
-4.936e-01,-1.7
-4.928e-01,0.5
-4.920e-01,2.6
-4.912e-01,4.5
-4.904e-01,6.2
-4.896e-01,7.6
-4.888e-01,8.8
-4.880e-01,9.5
-4.872e-01,9.7
-4.864e-01,9.6
-4.856e-01,7.8
-4.848e-01,5.5
-4.840e-01,2.6
-4.832e-01,-0.1
-4.824e-01,-2.6
-4.816e-01,-4
-4.808e-01,-4.3
-4.800e-01,-4.6
-4.792e-01,-4.7
-4.784e-01,-4.5
-4.776e-01,-3.4
-4.768e-01,-1.5
-4.760e-01,0.7
-4.752e-01,3.1
-4.744e-01,4.9
-4.736e-01,6.5
-4.728e-01,7.9
-4.720e-01,8.9
-4.712e-01,9.5
-4.704e-01,9.7
-4.696e-01,9.5
-4.688e-01,7.6
-4.680e-01,5.2
-4.672e-01,2.3
-4.664e-01,-0.5
-4.656e-01,-2.8
-4.648e-01,-4
-4.640e-01,-4.4
-4.632e-01,-4.5
-4.624e-01,-4.6
-4.616e-01,-4.4
-4.608e-01,-3.1
-4.600e-01,-1.1
-4.592e-01,1.1
-4.584e-01,3.2
-4.576e-01,5.1
-4.568e-01,6.8
-4.560e-01,8.2
-4.552e-01,9.1
-4.544e-01,9.6
-4.536e-01,9.7
-4.528e-01,9.2
-4.520e-01,7.3
-4.512e-01,4.7
-4.504e-01,1.7
-4.496e-01,-1
-4.488e-01,-3.2
-4.480e-01,-4.2
-4.472e-01,-4.4
-4.464e-01,-4.5
-4.456e-01,-4.5
-4.448e-01,-4.1
-4.440e-01,-2.7
-4.432e-01,-0.6
-4.424e-01,1.6
-4.416e-01,3.6
-4.408e-01,5.3
-4.400e-01,7
-4.392e-01,8.3
-4.384e-01,9.2
-4.376e-01,9.6
-4.368e-01,9.7
-4.360e-01,8.9
-4.352e-01,6.7
-4.344e-01,4.1
-4.336e-01,1.1
-4.328e-01,-1.5
-4.320e-01,-3.5
-4.312e-01,-4.4
-4.304e-01,-4.6
-4.296e-01,-4.6
-4.288e-01,-4.6
-4.280e-01,-4
-4.272e-01,-2.4
-4.264e-01,-0.3
-4.256e-01,1.9
-4.248e-01,4
-4.240e-01,5.7
-4.232e-01,7.2
-4.224e-01,8.5
-4.216e-01,9.4
-4.208e-01,9.7
-4.200e-01,9.8
-4.192e-01,8.6
-4.184e-01,6.4
-4.176e-01,3.7
-4.168e-01,0.8
-4.160e-01,-1.7
-4.152e-01,-3.6
-4.144e-01,-4.3
-4.136e-01,-4.5
-4.128e-01,-4.6
-4.120e-01,-4.6
-4.112e-01,-3.9
-4.104e-01,-2.1
-4.096e-01,0
-4.088e-01,2.1
-4.080e-01,4.1
-4.072e-01,6
-4.064e-01,7.5
-4.056e-01,8.7
-4.048e-01,9.4
-4.040e-01,9.7
-4.032e-01,9.7
-4.024e-01,8.2
-4.016e-01,6
-4.008e-01,3.2
-4.000e-01,0.3
-3.992e-01,-2.2
-3.984e-01,-3.7
-3.976e-01,-4.4
-3.968e-01,-4.4
-3.960e-01,-4.5
-3.952e-01,-4.5
-3.944e-01,-3.5
-3.936e-01,-1.6
-3.928e-01,0.5
-3.920e-01,2.6
-3.912e-01,4.4
-3.904e-01,6.3
-3.896e-01,7.6
-3.888e-01,8.9
-3.880e-01,9.4
-3.872e-01,9.7
-3.864e-01,9.6
-3.856e-01,7.9
-3.848e-01,5.5
-3.840e-01,2.6
-3.832e-01,-0.2
-3.824e-01,-2.6
-3.816e-01,-4
-3.808e-01,-4.4
-3.800e-01,-4.5
-3.792e-01,-4.6
-3.784e-01,-4.5
-3.776e-01,-3.4
-3.768e-01,-1.4
-3.760e-01,0.8
-3.752e-01,3
-3.744e-01,4.8
-3.736e-01,6.6
-3.728e-01,7.9
-3.720e-01,8.9
-3.712e-01,9.6
-3.704e-01,9.7
-3.696e-01,9.4
-3.688e-01,7.6
-3.680e-01,5.1
-3.672e-01,2.3
-3.664e-01,-0.5
-3.656e-01,-2.7
-3.648e-01,-4
-3.640e-01,-4.5
-3.632e-01,-4.5
-3.624e-01,-4.6
-3.616e-01,-4.4
-3.608e-01,-3.1
-3.600e-01,-1.1
-3.592e-01,1.2
-3.584e-01,3.3
-3.576e-01,5.1
-3.568e-01,6.8
-3.560e-01,8.2
-3.552e-01,9.1
-3.544e-01,9.6
-3.536e-01,9.8
-3.528e-01,9.3
-3.520e-01,7.2
-3.512e-01,4.6
-3.504e-01,1.7
-3.496e-01,-1
-3.488e-01,-3.1
-3.480e-01,-4.1
-3.472e-01,-4.4
-3.464e-01,-4.5
-3.456e-01,-4.6
-3.448e-01,-4.2
-3.440e-01,-2.7
-3.432e-01,-0.6
-3.424e-01,1.6
-3.416e-01,3.5
-3.408e-01,5.3
-3.400e-01,7
-3.392e-01,8.4
-3.384e-01,9.2
-3.376e-01,9.6
-3.368e-01,9.7
-3.360e-01,8.9
-3.352e-01,6.7
-3.344e-01,4.1
-3.336e-01,1.1
-3.328e-01,-1.4
-3.320e-01,-3.5
-3.312e-01,-4.3
-3.304e-01,-4.5
-3.296e-01,-4.7
-3.288e-01,-4.7
-3.280e-01,-4.1
-3.272e-01,-2.5
-3.264e-01,-0.3
-3.256e-01,1.9
-3.248e-01,4
-3.240e-01,5.7
-3.232e-01,7.2
-3.224e-01,8.5
-3.216e-01,9.3
-3.208e-01,9.7
-3.200e-01,9.8
-3.192e-01,8.6
-3.184e-01,6.4
-3.176e-01,3.7
-3.168e-01,1.1
-3.160e-01,-1.7
-3.152e-01,-3.5
-3.144e-01,-4.3
-3.136e-01,-4.4
-3.128e-01,-4.6
-3.120e-01,-4.6
-3.112e-01,-3.8
-3.104e-01,-2.2
-3.096e-01,0
-3.088e-01,2.2
-3.080e-01,4.1
-3.072e-01,5.9
-3.064e-01,7.5
-3.056e-01,8.7
-3.048e-01,9.4
-3.040e-01,9.7
-3.032e-01,9.7
-3.024e-01,8.3
-3.016e-01,6
-3.008e-01,3.2
-3.000e-01,0.3
-2.992e-01,-2.1
-2.984e-01,-3.8
-2.976e-01,-4.3
-2.968e-01,-4.4
-2.960e-01,-4.6
-2.952e-01,-4.5
-2.944e-01,-3.5
-2.936e-01,-1.6
-2.928e-01,0.5
-2.920e-01,2.6
-2.912e-01,4.4
-2.904e-01,6.2
-2.896e-01,7.7
-2.888e-01,8.9
-2.880e-01,9.4
-2.872e-01,9.7
-2.864e-01,9.6
-2.856e-01,7.9
-2.848e-01,5.5
-2.840e-01,2.7
-2.832e-01,-0.2
-2.824e-01,-2.6
-2.816e-01,-4
-2.808e-01,-4.5
-2.800e-01,-4.5
-2.792e-01,-4.6
-2.784e-01,-4.5
-2.776e-01,-3.4
-2.768e-01,-1.4
-2.760e-01,0.8
-2.752e-01,3
-2.744e-01,4.8
-2.736e-01,6.6
-2.728e-01,7.9
-2.720e-01,9
-2.712e-01,9.5
-2.704e-01,9.8
-2.696e-01,9.4
-2.688e-01,7.6
-2.680e-01,5.1
-2.672e-01,2.3
-2.664e-01,-0.5
-2.656e-01,-2.7
-2.648e-01,-4
-2.640e-01,-4.4
-2.632e-01,-4.4
-2.624e-01,-4.5
-2.616e-01,-4.4
-2.608e-01,-3.1
-2.600e-01,-1.1
-2.592e-01,1.1
-2.584e-01,3.2
-2.576e-01,5.1
-2.568e-01,6.8
-2.560e-01,8.1
-2.552e-01,9.1
-2.544e-01,9.5
-2.536e-01,9.7
-2.528e-01,9.1
-2.520e-01,7.2
-2.512e-01,4.7
-2.504e-01,1.7
-2.496e-01,-1
-2.488e-01,-3.2
-2.480e-01,-4.1
-2.472e-01,-4.4
-2.464e-01,-4.5
-2.456e-01,-4.6
-2.448e-01,-4.1
-2.440e-01,-2.6
-2.432e-01,-0.7
-2.424e-01,1.6
-2.416e-01,3.6
-2.408e-01,5.3
-2.400e-01,6.9
-2.392e-01,8.3
-2.384e-01,9.2
-2.376e-01,9.6
-2.368e-01,9.8
-2.360e-01,8.8
-2.352e-01,6.7
-2.344e-01,4.1
-2.336e-01,1.2
-2.328e-01,-1.5
-2.320e-01,-3.4
-2.312e-01,-4.3
-2.304e-01,-4.6
-2.296e-01,-4.6
-2.288e-01,-4.6
-2.280e-01,-4.1
-2.272e-01,-2.4
-2.264e-01,-0.3
-2.256e-01,2
-2.248e-01,4
-2.240e-01,5.6
-2.232e-01,7.2
-2.224e-01,8.5
-2.216e-01,9.4
-2.208e-01,9.7
-2.200e-01,9.8
-2.192e-01,8.6
-2.184e-01,6.4
-2.176e-01,3.7
-2.168e-01,0.8
-2.160e-01,-1.7
-2.152e-01,-3.6
-2.144e-01,-4.2
-2.136e-01,-4.6
-2.128e-01,-4.5
-2.120e-01,-4.6
-2.112e-01,-3.8
-2.104e-01,-2.1
-2.096e-01,0
-2.088e-01,2.2
-2.080e-01,4.1
-2.072e-01,5.9
-2.064e-01,7.5
-2.056e-01,8.6
-2.048e-01,9.4
-2.040e-01,9.7
-2.032e-01,9.7
-2.024e-01,8.2
-2.016e-01,6
-2.008e-01,3.1
-2.000e-01,0.3
-1.992e-01,-2.1
-1.984e-01,-3.7
-1.976e-01,-4.4
-1.968e-01,-4.4
-1.960e-01,-4.5
-1.952e-01,-4.5
-1.944e-01,-3.7
-1.936e-01,-1.7
-1.928e-01,0.5
-1.920e-01,2.6
-1.912e-01,4.5
-1.904e-01,6.2
-1.896e-01,7.7
-1.888e-01,8.8
-1.880e-01,9.5
-1.872e-01,9.7
-1.864e-01,9.6
-1.856e-01,7.9
-1.848e-01,5.5
-1.840e-01,2.6
-1.832e-01,-0.1
-1.824e-01,-2.6
-1.816e-01,-4
-1.808e-01,-4.4
-1.800e-01,-4.7
-1.792e-01,-4.6
-1.784e-01,-4.6
-1.776e-01,-3.4
-1.768e-01,-1.4
-1.760e-01,0.8
-1.752e-01,3
-1.744e-01,4.8
-1.736e-01,6.5
-1.728e-01,7.9
-1.720e-01,8.9
-1.712e-01,9.6
-1.704e-01,9.7
-1.696e-01,9.4
-1.688e-01,7.6
-1.680e-01,5.1
-1.672e-01,2.1
-1.664e-01,-0.5
-1.656e-01,-2.8
-1.648e-01,-4
-1.640e-01,-4.4
-1.632e-01,-4.7
-1.624e-01,-4.6
-1.616e-01,-4.4
-1.608e-01,-3
-1.600e-01,-1.1
-1.592e-01,1.1
-1.584e-01,3.2
-1.576e-01,5
-1.568e-01,6.8
-1.560e-01,8.1
-1.552e-01,9.1
-1.544e-01,9.6
-1.536e-01,9.7
-1.528e-01,9.1
-1.520e-01,7.2
-1.512e-01,4.6
-1.504e-01,1.8
-1.496e-01,-1
-1.488e-01,-3.2
-1.480e-01,-4.2
-1.472e-01,-4.4
-1.464e-01,-4.5
-1.456e-01,-4.5
-1.448e-01,-4.2
-1.440e-01,-2.7
-1.432e-01,-0.7
-1.424e-01,1.6
-1.416e-01,3.6
-1.408e-01,5.4
-1.400e-01,7
-1.392e-01,8.3
-1.384e-01,9.2
-1.376e-01,9.5
-1.368e-01,9.7
-1.360e-01,8.9
-1.352e-01,6.7
-1.344e-01,4.1
-1.336e-01,1.2
-1.328e-01,-1.5
-1.320e-01,-3.4
-1.312e-01,-4.3
-1.304e-01,-4.5
-1.296e-01,-4.5
-1.288e-01,-4.6
-1.280e-01,-4.1
-1.272e-01,-2.5
-1.264e-01,-0.3
-1.256e-01,1.9
-1.248e-01,4
-1.240e-01,5.6
-1.232e-01,7.3
-1.224e-01,8.5
-1.216e-01,9.3
-1.208e-01,9.7
-1.200e-01,9.7
-1.192e-01,8.5
-1.184e-01,6.5
-1.176e-01,3.7
-1.168e-01,0.8
-1.160e-01,-1.7
-1.152e-01,-3.5
-1.144e-01,-4.2
-1.136e-01,-4.4
-1.128e-01,-4.6
-1.120e-01,-4.5
-1.112e-01,-3.8
-1.104e-01,-2.2
-1.096e-01,0
-1.088e-01,2.2
-1.080e-01,4.1
-1.072e-01,5.9
-1.064e-01,7.5
-1.056e-01,8.7
-1.048e-01,9.3
-1.040e-01,9.7
-1.032e-01,9.7
-1.024e-01,8.3
-1.016e-01,6
-1.008e-01,3.1
-1.000e-01,0.3
-9.920e-02,-2.2
-9.840e-02,-3.8
-9.760e-02,-4.4
-9.680e-02,-4.5
-9.600e-02,-4.5
-9.520e-02,-4.5
-9.440e-02,-3.5
-9.360e-02,-1.6
-9.280e-02,0.5
-9.200e-02,2.6
-9.120e-02,4.5
-9.040e-02,6.3
-8.960e-02,7.7
-8.880e-02,8.9
-8.800e-02,9.4
-8.720e-02,9.7
-8.640e-02,9.6
-8.560e-02,7.9
-8.480e-02,5.5
-8.400e-02,2.7
-8.320e-02,-0.2
-8.240e-02,-2.6
-8.160e-02,-4
-8.080e-02,-4.4
-8.000e-02,-4.5
-7.920e-02,-4.5
-7.840e-02,-4.5
-7.760e-02,-3.4
-7.680e-02,-1.4
-7.600e-02,0.8
-7.520e-02,3
-7.440e-02,4.9
-7.360e-02,6.6
-7.280e-02,7.8
-7.200e-02,9
-7.120e-02,9.6
-7.040e-02,9.7
-6.960e-02,9.4
-6.880e-02,7.6
-6.800e-02,5.1
-6.720e-02,2.3
-6.640e-02,-0.5
-6.560e-02,-2.7
-6.480e-02,-4
-6.400e-02,-4.4
-6.320e-02,-4.4
-6.240e-02,-4.5
-6.160e-02,-4.4
-6.080e-02,-3
-6.000e-02,-1.1
-5.920e-02,1.1
-5.840e-02,3.2
-5.760e-02,5
-5.680e-02,6.8
-5.600e-02,8.1
-5.520e-02,9.1
-5.440e-02,9.5
-5.360e-02,9.7
-5.280e-02,9.2
-5.200e-02,7.2
-5.120e-02,4.6
-5.040e-02,1.7
-4.960e-02,-1
-4.880e-02,-3.1
-4.800e-02,-4.1
-4.720e-02,-4.4
-4.640e-02,-4.6
-4.560e-02,-4.6
-4.480e-02,-4.2
-4.400e-02,-2.7
-4.320e-02,-0.8
-4.240e-02,1.5
-4.160e-02,3.6
-4.080e-02,5.3
-4.000e-02,7
-3.920e-02,8.4
-3.840e-02,9.2
-3.760e-02,9.6
-3.680e-02,9.8
-3.600e-02,8.9
-3.520e-02,6.7
-3.440e-02,4.1
-3.360e-02,1.3
-3.280e-02,-1.4
-3.200e-02,-3.4
-3.120e-02,-4.2
-3.040e-02,-4.5
-2.960e-02,-4.6
-2.880e-02,-4.7
-2.800e-02,-4
-2.720e-02,-2.4
-2.640e-02,-0.3
-2.560e-02,1.9
-2.480e-02,3.9
-2.400e-02,5.7
-2.320e-02,7.2
-2.240e-02,8.5
-2.160e-02,9.4
-2.080e-02,9.7
-2.000e-02,9.8
-1.920e-02,8.6
-1.840e-02,6.4
-1.760e-02,3.7
-1.680e-02,0.9
-1.600e-02,-1.7
-1.520e-02,-3.5
-1.440e-02,-4.2
-1.360e-02,-4.4
-1.280e-02,-4.5
-1.200e-02,-4.6
-1.120e-02,-3.9
-1.040e-02,-2.1
-9.600e-03,0
-8.800e-03,2.1
-8.000e-03,4.1
-7.200e-03,5.9
-6.400e-03,7.6
-5.600e-03,8.6
-4.800e-03,9.5
-4.000e-03,9.7
-3.200e-03,9.7
-2.400e-03,8.2
-1.600e-03,6
-8.000e-04,3.2
1.463e-14,0.3
8.000e-04,-2.2
1.600e-03,-3.8
2.400e-03,-4.4
3.200e-03,-4.5
4.000e-03,-4.6
4.800e-03,-4.6
5.600e-03,-3.5
6.400e-03,-1.7
7.200e-03,0.5
8.000e-03,2.6
8.800e-03,4.4
9.600e-03,6.2
1.040e-02,7.6
1.120e-02,8.9
1.200e-02,9.5
1.280e-02,9.7
1.360e-02,9.6
1.440e-02,7.9
1.520e-02,5.5
1.600e-02,2.7
1.680e-02,-0.1
1.760e-02,-2.5
1.840e-02,-4
1.920e-02,-4.4
2.000e-02,-4.6
2.080e-02,-4.6
2.160e-02,-4.6
2.240e-02,-3.3
2.320e-02,-1.4
2.400e-02,0.8
2.480e-02,3
2.560e-02,4.8
2.640e-02,6.5
2.720e-02,8
2.800e-02,8.9
2.880e-02,9.5
2.960e-02,9.7
3.040e-02,9.4
3.120e-02,7.6
3.200e-02,5.1
3.280e-02,2.3
3.360e-02,-0.5
3.440e-02,-3
3.520e-02,-4
3.600e-02,-4.4
3.680e-02,-4.5
3.760e-02,-4.6
3.840e-02,-4.3
3.920e-02,-3.1
4.000e-02,-1
4.080e-02,1.1
4.160e-02,3.2
4.240e-02,5
4.320e-02,6.7
4.400e-02,8.1
4.480e-02,9
4.560e-02,9.6
4.640e-02,9.7
4.720e-02,9.1
4.800e-02,7.2
4.880e-02,4.5
4.960e-02,1.7
5.040e-02,-1
5.120e-02,-3.2
5.200e-02,-4.1
5.280e-02,-4.5
5.360e-02,-4.5
5.440e-02,-4.5
5.520e-02,-4.1
5.600e-02,-2.7
5.680e-02,-0.7
5.760e-02,1.6
5.840e-02,3.6
5.920e-02,5.3
6.000e-02,7
6.080e-02,8.2
6.160e-02,9.3
6.240e-02,9.6
6.320e-02,9.8
6.400e-02,8.8
6.480e-02,6.7
6.560e-02,4.1
6.640e-02,1.2
6.720e-02,-1.4
6.800e-02,-3.4
6.880e-02,-4.3
6.960e-02,-4.5
7.040e-02,-4.6
7.120e-02,-4.5
7.200e-02,-4.1
7.280e-02,-2.5
7.360e-02,-0.3
7.440e-02,1.9
7.520e-02,4
7.600e-02,5.7
7.680e-02,7.3
7.760e-02,8.5
7.840e-02,9.3
7.920e-02,9.7
8.000e-02,9.8
8.080e-02,8.6
8.160e-02,6.4
8.240e-02,3.6
8.320e-02,0.8
8.400e-02,-1.7
8.480e-02,-3.6
8.560e-02,-4.2
8.640e-02,-4.4
8.720e-02,-4.6
8.800e-02,-4.5
8.880e-02,-3.8
8.960e-02,-2.1
9.040e-02,0
9.120e-02,2.2
9.200e-02,4.1
9.280e-02,6
9.360e-02,7.5
9.440e-02,8.7
9.520e-02,9.3
9.600e-02,9.7
9.680e-02,9.7
9.760e-02,8.3
9.840e-02,5.9
9.920e-02,3.2
1.000e-01,0.3
1.008e-01,-2.2
1.016e-01,-3.8
1.024e-01,-4.4
1.032e-01,-4.5
1.040e-01,-4.5
1.048e-01,-4.5
1.056e-01,-3.6
1.064e-01,-1.6
1.072e-01,0.5
1.080e-01,2.6
1.088e-01,4.5
1.096e-01,6.2
